Name,NetWorth,Country,Source,Rank,Age,Industry,Continent
Dan Friedkin,$4.1 B,United States,Toyota dealerships,705,56,Automotive,North America
Laurence Graff & family,$4.1 B,United Kingdom,diamond jewelry,705,82,Fashion & Retail,Europe
Martin Haefner,$4.1 B,Switzerland,"software, investments",705,67,Technology,Europe
Hong Ra-hee,$4.1 B,South Korea,Samsung,705,75,Technology,Asia
Ji Qi,$4.1 B,China,"hotels, motels",705,54,Real Estate,Asia
"Rupert Johnson, Jr.",$4.1 B,United States,money management,705,80,Finance & Investments,North America
Daniel Kretinsky,$4.1 B,Czechia,"energy, investments",705,45,Energy,Europe
William Lauder,$4.1 B,United States,Estee Lauder,705,60,Fashion & Retail,North America
Janice McNair,$4.1 B,United States,"energy, sports",705,84,Sports,North America
John Morris,$4.1 B,United States,sporting goods retail,705,73,Fashion & Retail,North America
Gabe Newell,$4.1 B,United States,videogames,705,58,Gambling & Casinos,North America
Katharina Otto-Bernstein,$4.1 B,Germany,real estate,705,57,Real Estate,Europe
Julio Ponce Lerou,$4.1 B,Chile,fertilizer,705,75,Metals & Mining,South America
Jon Stryker,$4.1 B,United States,medical equipment,705,62,Healthcare,North America
Suh Kyung-bae,$4.1 B,South Korea,cosmetics,705,58,Fashion & Retail,Asia
Xu Jingren,$4.1 B,China,pharmaceuticals,705,76,Healthcare,Asia
Samuel Yin,$4.1 B,Taiwan,retail,705,70,Diversified,Asia
Walter P.J. Droege,$4 B,Germany,investing,727,68,Finance & Investments,Europe
Du Jiangtao & family,$4 B,China,chemicals,727,51,Manufacturing,Asia
Vinod & Anil Rai Gupta,$4 B,India,electrical equipment,727,N/A,Manufacturing,Asia
Masatoshi Ito,$4 B,Japan,retail,727,96,Fashion & Retail,Asia
Igor Kesaev,$4 B,Russia,"tobacco distribution, retail",727,54,Fashion & Retail,
Koon Poh Keong,$4 B,Malaysia,aluminum,727,59,Manufacturing,Asia
Paul Xiaoming Lee & family,$4 B,United States,packaging,727,63,Manufacturing,North America
Li Xiang,$4 B,China,electric vehicles,727,39,Automotive,Asia
Melissa Ma,$4 B,China,internet search,727,51,Technology,Asia
Kiran Mazumdar-Shaw,$4 B,India,biopharmaceuticals,727,68,Healthcare,Asia
Gwendolyn Sontheim Meyer,$4 B,United States,Cargill,727,59,Food & Beverage,North America
Akira Mori & family,$4 B,Japan,real estate,727,84,Real Estate,Asia
Georg Nemetschek & family,$4 B,Germany,software,727,87,Technology,Europe
Masahiro Noda,$4 B,Japan,software,727,82,Technology,Asia
Ajay Piramal,$4 B,India,pharmaceuticals,727,65,Healthcare,Asia
Qiu Guanghe & family,$4 B,China,fashion retail,727,69,Fashion & Retail,Asia
Trevor Rees-Jones,$4 B,United States,oil & gas,727,69,Energy,North America
Ira Rennert,$4 B,United States,investments,727,86,Finance & Investments,North America
Marc Rowan,$4 B,United States,private equity,727,58,Finance & Investments,North America
Ugur Sahin,$4 B,Germany,biotechnology,727,55,Healthcare,Europe
Michal Solowow,$4 B,Poland,investments,727,58,Finance & Investments,Europe
Udo & Harald Tschira,$4 B,Germany,software,727,N/A,Technology,Europe
Wu Jianshu,$4 B,Hong Kong,auto parts,727,57,Automotive,Asia
Ye Xiaoping,$4 B,China,pharmaceuticals,727,58,Healthcare,Asia
Zhou Hongyi,$4 B,China,security software,727,50,Technology,Asia
Che Jianxing,$3.9 B,China,furniture retailing,752,54,Fashion & Retail,Asia
Beatriz Davila de Santo Domingo,$3.9 B,Colombia,beer,752,82,Food & Beverage,South America
Rafael Del Pino,$3.9 B,Spain,construction,752,62,Construction & Engineering,Europe
Du Weimin,$3.9 B,China,vaccines,752,57,Healthcare,Asia
Rakesh Gangwal,$3.9 B,United States,airline,752,67,Service,North America
Paul Gauselmann & family,$3.9 B,Germany,gambling,752,86,Gambling & Casinos,Europe
Jeff Greene,$3.9 B,United States,"real estate, investments",752,66,Real Estate,North America
Johnelle Hunt,$3.9 B,United States,trucking,752,89,Logistics,North America
Jin Baofang,$3.9 B,China,solar energy,752,68,Energy,Asia
Kuan Kam Hon & family,$3.9 B,Malaysia,synthetic gloves,752,73,Manufacturing,Asia
"Stephen Mandel, Jr.",$3.9 B,United States,hedge funds,752,65,Finance & Investments,North America
Gilles Martin,$3.9 B,France,laboratory services,752,57,Healthcare,Europe
Masahiro Miki,$3.9 B,Japan,shoes,752,65,Fashion & Retail,Asia
Dan Olsson,$3.9 B,Sweden,diversified,752,74,Diversified,Europe
Robert Rowling,$3.9 B,United States,"hotels, investments",752,67,Service,North America
Erik Selin,$3.9 B,Sweden,real estate,752,53,Real Estate,Europe
Mark Shoen,$3.9 B,United States,U-Haul,752,70,Automotive,North America
Ben Silbermann,$3.9 B,United States,Pinterest,752,38,Technology,North America
Maximilian Viessmann,$3.9 B,Germany,heating and cooling equipment,752,N/A,Manufacturing,Europe
Wang Linpeng,$3.9 B,China,furniture retailing,752,52,Construction & Engineering,Asia
Wu Zhigang & family,$3.9 B,China,bakery chain,752,86,Food & Beverage,Asia
Yi Zheng,$3.9 B,China,software,752,50,Technology,Asia
Zhang Wenzhong,$3.9 B,China,supermarkets,752,59,Fashion & Retail,Asia
Euisun Chung,$3.8 B,South Korea,Hyundai,775,50,Logistics,Asia
Daniel D'Aniello,$3.8 B,United States,private equity,775,74,Finance & Investments,North America
Oleg Deripaska,$3.8 B,Russia,"aluminum, utilities",775,53,Metals & Mining,Europe
Sergey Dmitriev,$3.8 B,Russia,computer software,775,55,Technology,Europe
Feng Hailiang,$3.8 B,China,"copper, education",775,60,Metals & Mining,Asia
John Gandel,$3.8 B,Australia,shopping malls,775,86,Real Estate,Australia
Gao Dekang & family,$3.8 B,China,apparel,775,69,Fashion & Retail,Asia
Jaime Gilinski Bacal,$3.8 B,Colombia,banking,775,63,Finance & Investments,South America
Sergei Gordeev,$3.8 B,Russia,real estate,775,48,Real Estate,Europe
Jeff Green,$3.8 B,United States,online advertising,775,44,Media & Entertainment,North America
"Amos Hostetter, Jr.",$3.8 B,United States,cable television,775,84,Media & Entertainment,North America
Kuok Khoon Hong,$3.8 B,Singapore,palm oil,775,71,Manufacturing,Asia
Lai Jianping,$3.8 B,China,soy sauce,775,N/A,Food & Beverage,Asia
Aerin Lauder,$3.8 B,United States,cosmetics,775,50,Fashion & Retail,North America
Hans Georg Naeder,$3.8 B,Germany,prosthetics,775,59,Manufacturing,Europe
Maren Otto,$3.8 B,Germany,"retail, real estate",775,N/A,Diversified,Europe
Clive Palmer,$3.8 B,Australia,mining,775,67,Metals & Mining,Australia
Karsanbhai Patel,$3.8 B,India,consumer goods,775,77,Diversified,Asia
Qiu Jianping & family,$3.8 B,China,hand tools,775,59,Manufacturing,Asia
Wolfgang Reimann,$3.8 B,Germany,consumer goods,775,68,Fashion & Retail,Europe
Matthias Reimann-Andersen,$3.8 B,Germany,consumer goods,775,56,Fashion & Retail,Europe
Stefan Reimann-Andersen,$3.8 B,Germany,consumer goods,775,57,Fashion & Retail,Europe
Renate Reimann-Haas,$3.8 B,Germany,consumer goods,775,69,Fashion & Retail,Europe
Dirk Rossmann & family,$3.8 B,Germany,drugstores,775,74,Fashion & Retail,Europe
Shaul Shani,$3.8 B,Israel,telecom,775,66,Telecom,Asia
Song Fei,$3.8 B,China,machinery,775,54,Manufacturing,Asia
Donald Sterling,$3.8 B,United States,real estate,775,86,Real Estate,North America
Ivar Tollefsen,$3.8 B,Norway,real estate,775,59,Real Estate,Europe
Don Vultaggio & family,$3.8 B,United States,beverages,775,69,Food & Beverage,North America
Nusli Wadia,$3.8 B,India,consumer goods,775,77,Food & Beverage,Asia
Zhang Jin,$3.8 B,China,commodities,775,49,Diversified,Asia
Zhu Gongshan,$3.8 B,China,solar panel materials,775,63,Manufacturing,Asia
Peter Gilgan,$3.7 B,Canada,homebuilding,807,70,Construction & Engineering,North America
Marian Ilitch,$3.7 B,United States,Little Caesars,807,88,Food & Beverage,North America
Kong Jian Min,$3.7 B,China,real estate,807,53,Real Estate,Asia
Li Liangbin,$3.7 B,China,lithium,807,53,Manufacturing,Asia
Li Yongxin & family,$3.7 B,China,education,807,45,Service,Asia
Mary Alice Dorrance Malone,$3.7 B,United States,Campbell Soup,807,71,Food & Beverage,North America
Michael Milken,$3.7 B,United States,investments,807,74,Finance & Investments,North America
Ronald Perelman,$3.7 B,United States,leveraged buyouts,807,78,Finance & Investments,North America
Candido Pinheiro Koren de Lima,$3.7 B,Brazil,"hospitals, health insurance",807,74,Healthcare,South America
J. Joe Ricketts & family,$3.7 B,United States,TD Ameritrade,807,79,Finance & Investments,North America
Paolo & Gianfelice Mario Rocca,$3.7 B,Italy,pipe manufacturing,807,N/A,Metals & Mining,Europe
Jeff Rothschild,$3.7 B,United States,Facebook,807,66,Technology,North America
David Rubenstein,$3.7 B,United States,private equity,807,71,Finance & Investments,North America
Maria-Elisabeth Schaeffler-Thumann,$3.7 B,Germany,auto parts,807,79,Automotive,Europe
Steven Spielberg,$3.7 B,United States,movies,807,74,Media & Entertainment,North America
Barry Sternlicht,$3.7 B,United States,private equity,807,60,Finance & Investments,North America
Mark Stevens,$3.7 B,United States,venture capital,807,61,Finance & Investments,North America
David Steward,$3.7 B,United States,IT provider,807,69,Technology,North America
Vincent Viola,$3.7 B,United States,electronic trading,807,65,Finance & Investments,North America
Todd Wanek,$3.7 B,United States,furniture,807,57,Manufacturing,North America
Wang Roger,$3.7 B,United States,retail,807,72,Fashion & Retail,North America
Russ Weiner,$3.7 B,United States,energy drinks,807,50,Food & Beverage,North America
Herbert Wertheim,$3.7 B,United States,investments,807,81,Finance & Investments,North America
Xu Shugen,$3.7 B,China,"construction, mining machinery",807,55,Manufacturing,Asia
Anil Agarwal & family,$3.6 B,India,"mining, metals",831,67,Metals & Mining,Asia
Majid Al Futtaim & family,$3.6 B,United Arab Emirates,"real estate, retail",831,N/A,Real Estate,Asia
Leonid Boguslavsky,$3.6 B,Russia,venture capital,831,69,Finance & Investments,Asia
"Austen Cargill, II.",$3.6 B,United States,Cargill,831,70,Food & Beverage,North America
"James Cargill, II.",$3.6 B,United States,Cargill,831,71,Food & Beverage,North America
Chu Lam Yiu,$3.6 B,Hong Kong,flavorings,831,51,Manufacturing,Asia
Steve Conine,$3.6 B,United States,online retail,831,48,Technology,North America
Hu Kaijun,$3.6 B,China,pharmaceuticals,831,59,Healthcare,Asia
S. Curtis Johnson,$3.6 B,United States,cleaning products,831,65,Manufacturing,North America
Helen Johnson-Leipold,$3.6 B,United States,cleaning products,831,64,Manufacturing,North America
Daryl Katz,$3.6 B,Canada,pharmacies,831,59,Diversified,North America
Peter Kellogg,$3.6 B,United States,investments,831,78,Finance & Investments,North America
Samuel Tak Lee,$3.6 B,Hong Kong,real estate,831,81,Real Estate,Asia
Li Hongxin & family,$3.6 B,China,paper & related products,831,68,Manufacturing,Asia
Marianne Liebmann,$3.6 B,United States,Cargill,831,67,Food & Beverage,North America
Winifred J. Marquart,$3.6 B,United States,cleaning products,831,62,Manufacturing,North America
Daniel Och,$3.6 B,United States,hedge funds,831,60,Finance & Investments,North America
Anthony Pritzker,$3.6 B,United States,"hotels, investments",831,60,Service,North America
Rodger Riney & family,$3.6 B,United States,discount brokerage,831,75,Finance & Investments,North America
Niraj Shah,$3.6 B,United States,online retail,831,47,Technology,North America
Lynsi Snyder,$3.6 B,United States,In-N-Out Burger,831,38,Food & Beverage,North America
Jerzy Starak,$3.6 B,Poland,pharmaceuticals,831,73,Healthcare,Europe
Michael Tojner,$3.6 B,Austria,"batteries, investments",831,55,Manufacturing,Australia
Richard Tsai,$3.6 B,Taiwan,finance,831,63,Finance & Investments,Asia
Ty Warner,$3.6 B,United States,"real estate, plush toys",831,76,Real Estate,North America
Yang Shaopeng,$3.6 B,China,shipping,831,63,Logistics,Asia
Yuan Liping,$3.6 B,Canada,pharmaceuticals,831,50,Healthcare,North America
Zhang Hongwei,$3.6 B,China,"oil, banking",831,66,Diversified,Asia
Andrej Babis,$3.5 B,Czechia,agriculture,859,66,Food & Beverage,Europe
Shyam & Hari Bhartia,$3.5 B,India,diversified,859,68,Diversified,Asia
Hubert Burda,$3.5 B,Germany,publishing,859,81,Media & Entertainment,Europe
Chuchat Petaumpai & Daonapa Petampai,$3.5 B,Thailand,motorcycle loans,859,67,Finance & Investments,Asia
Charles Cohen,$3.5 B,United States,real estate,859,69,Real Estate,North America
David Filo,$3.5 B,United States,Yahoo,859,54,Technology,North America
Sergei Galitsky,$3.5 B,Russia,retail,859,53,Fashion & Retail,Europe
Alessandra Garavoglia,$3.5 B,Italy,spirits,859,61,Food & Beverage,Europe
Franco Bittar Garcia,$3.5 B,Brazil,retailing,859,37,Fashion & Retail,South America
Martha Ingram & family,$3.5 B,United States,"book distribution, transportation",859,85,Media & Entertainment,North America
H. Fisk Johnson,$3.5 B,United States,cleaning products,859,62,Manufacturing,North America
Li Guoqiang,$3.5 B,China,auto dealerships,859,57,Automotive,Asia
Lim Wee Chai,$3.5 B,Malaysia,rubber gloves,859,63,Manufacturing,Asia
Liu Xiaodong,$3.5 B,China,flavorings,859,53,Manufacturing,Asia
Daniel Loeb,$3.5 B,United States,hedge funds,859,59,Finance & Investments,North America
Jim McKelvey,$3.5 B,United States,mobile payments,859,55,Technology,North America
Apoorva Mehta,$3.5 B,Canada,grocery delivery service,859,34,Technology,North America
N.R. Narayana Murthy,$3.5 B,India,software services,859,74,Technology,Asia
John Paulson,$3.5 B,United States,hedge funds,859,65,Finance & Investments,North America
J.B. Pritzker,$3.5 B,United States,"hotels, investments",859,56,Finance & Investments,North America
Michael Rubin,$3.5 B,United States,online retail,859,48,Fashion & Retail,North America
Arnout Schuijff,$3.5 B,Netherlands,payments software,859,53,Technology,Europe
Thomas Secunda,$3.5 B,United States,Bloomberg LP,859,66,Media & Entertainment,North America
Vivek Chaand Sehgal,$3.5 B,Australia,auto parts,859,64,Automotive,Australia
E. Joe Shoen,$3.5 B,United States,U-Haul,859,71,Automotive,North America
Leena Tewari,$3.5 B,India,pharmaceuticals,859,63,Healthcare,Asia
Julia Thiele-Schuerhoff,$3.5 B,Germany,brakes,859,N/A,Manufacturing,Europe
Romesh T. Wadhwani,$3.5 B,United States,software,859,73,Technology,North America
Wu Shaoxun,$3.5 B,China,wine,859,65,Food & Beverage,Asia
Ye Guofu,$3.5 B,China,retail,859,43,Fashion & Retail,Asia
Denise York & family,$3.5 B,United States,San Francisco 49ers,859,70,Sports,North America
Zhou Jianping,$3.5 B,China,fashion retail,859,60,Fashion & Retail,Asia
Mohed Altrad,$3.4 B,France,"scaffolding, cement mixers",891,73,Construction & Engineering,Europe
Gayle Benson,$3.4 B,United States,pro sports teams,891,74,Sports,North America
Francesco Gaetano Caltagirone,$3.4 B,Italy,"cement, diversified",891,78,Construction & Engineering,Europe
"William Conway, Jr.",$3.4 B,United States,private equity,891,71,Finance & Investments,North America
Jim Davis,$3.4 B,United States,staffing & recruiting,891,61,Service,North America
Deng Wen,$3.4 B,China,flavorings,891,53,Food & Beverage,Asia
Ennio Doris & family,$3.4 B,Italy,financial services,891,80,Finance & Investments,Europe
Bernard Ecclestone & family,$3.4 B,United Kingdom,Formula One,891,90,Sports,Europe
Alexander Frolov,$3.4 B,Russia,"mining, steel",891,56,Metals & Mining,Asia
Fiona Geminder,$3.4 B,Australia,manufacturing,891,56,Manufacturing,Australia
Zarakh Iliev,$3.4 B,Russia,real estate,891,54,Real Estate,Asia
Viktor Kharitonin,$3.4 B,Russia,pharmaceuticals,891,48,Healthcare,Asia
Steven Klinsky,$3.4 B,United States,investments,891,64,Finance & Investments,North America
Chris Larsen,$3.4 B,United States,cryptocurrency,891,60,Finance & Investments,North America
Angela Leong,$3.4 B,Hong Kong,casinos,891,60,Real Estate,Asia
Margarita Louis-Dreyfus & family,$3.4 B,Switzerland,commodities,891,58,Food & Beverage,Europe
John Middleton,$3.4 B,United States,tobacco,891,66,Food & Beverage,North America
Arnon Milchan,$3.4 B,Israel,movie making,891,76,Media & Entertainment,Asia
Arturo Moreno,$3.4 B,United States,"billboards, Anaheim Angels",891,74,Sports,North America
God Nisanov,$3.4 B,Russia,real estate,891,48,Real Estate,Asia
Benjamin Zhengmin Pan & family,$3.4 B,China,electronics,891,51,Technology,Asia
Jay Paul,$3.4 B,United States,real estate,891,73,Real Estate,North America
Remo Ruffini,$3.4 B,Italy,winter jackets,891,59,Fashion & Retail,Europe
Patrick Ryan,$3.4 B,United States,insurance,891,83,Finance & Investments,North America
RJ Scaringe,$3.4 B,United States,electric vehicles,891,38,Automotive,North America
Lynn Schusterman,$3.4 B,United States,"oil & gas, investments",891,82,Energy,North America
Eric Ya Shen,$3.4 B,China,online apparel retail,891,50,Technology,Asia
Daniel Tsai,$3.4 B,Taiwan,finance,891,64,Finance & Investments,Asia
Tung Chee Chen,$3.4 B,Hong Kong,shipping,891,78,Logistics,Asia
Bulat Utemuratov,$3.4 B,Kazakhstan,"mining, banking, hotels",891,63,Metals & Mining,Asia
Frank VanderSloot,$3.4 B,United States,"nutrition, wellness products",891,72,Fashion & Retail,North America
Kelcy Warren,$3.4 B,United States,pipelines,891,65,Energy,North America
Xu Yi,$3.4 B,China,Internet,891,31,Media & Entertainment,Asia
Vladimir Yevtushenkov,$3.4 B,Russia,"telecom, investments",891,72,Telecom,Asia
Somphote Ahunai,$3.3 B,Thailand,renewable energy,925,53,Energy,Asia
John Arnold,$3.3 B,United States,hedge funds,925,47,Finance & Investments,North America
Neal Blue & family,$3.3 B,United States,defense,925,86,Manufacturing,North America
Alejandro Bulgheroni,$3.3 B,Argentina,oil & gas,925,76,Energy,South America
Dong Jinggui,$3.3 B,China,electric scooters,925,51,Automotive,Asia
Joseph Edelman,$3.3 B,United States,hedge funds,925,65,Finance & Investments,North America
Charles Edelstenne,$3.3 B,France,aviation,925,83,Manufacturing,Europe
Senapathy Gopalakrishnan,$3.3 B,India,software services,925,66,Technology,Asia
B. Wayne Hughes,$3.3 B,United States,self storage,925,87,Service,North America
Ravi Jaipuria,$3.3 B,India,"soft drinks, fast food",925,66,Food & Beverage,Asia
Samvel Karapetyan,$3.3 B,Russia,real estate,925,55,Construction & Engineering,Asia
Vyacheslav Kim,$3.3 B,Kazakhstan,fintech,925,51,Finance & Investments,Asia
Jim Koch,$3.3 B,United States,beer,925,71,Food & Beverage,North America
"Andre Koo, Sr.",$3.3 B,Taiwan,financial services,925,53,Finance & Investments,Asia
Yuri Kovalchuk,$3.3 B,Russia,"banking, insurance, media",925,69,Finance & Investments,Asia
Richard LeFrak & family,$3.3 B,United States,real estate,925,75,Real Estate,North America
Kevin David Lehmann,$3.3 B,Germany,drugstores,925,18,Fashion & Retail,Europe
Horst Paulmann & family,$3.3 B,Chile,retail,925,86,Fashion & Retail,South America
Jean (Gigi) Pritzker,$3.3 B,United States,"hotels, investments",925,58,Service,North America
Qi Xiangdong,$3.3 B,China,software,925,50,Technology,Asia
Renzo Rosso & family,$3.3 B,Italy,fashion,925,65,Fashion & Retail,Europe
Stephen Rubin,$3.3 B,United Kingdom,sports apparel,925,84,Fashion & Retail,Europe
"Bernard Saul, II.",$3.3 B,United States,"banking, real estate",925,88,Finance & Investments,North America
Klaus-Peter Schulenberg,$3.3 B,Germany,ticketing service,925,N/A,Service,Europe
Tahir & family,$3.3 B,Indonesia,diversified,925,69,Diversified,Asia
Lucio Tan,$3.3 B,Philippines,diversified,925,86,Diversified,Asia
Lottie Tham & family,$3.3 B,Sweden,H&M,925,71,Fashion & Retail,Europe
Wang Wenxue,$3.3 B,China,real estate,925,53,Real Estate,Asia
Hans Peter Wild,$3.3 B,Switzerland,flavorings,925,79,Food & Beverage,Europe
"William Wrigley, Jr.",$3.3 B,United States,chewing gum,925,57,Food & Beverage,North America
Zhang Xin & Pan Shiyi,$3.3 B,China,real estate,925,55,Real Estate,Asia
Giuliana Benetton,$3.2 B,Italy,"fashion retail, investments",956,83,Fashion & Retail,Europe
Luciano Benetton,$3.2 B,Italy,"fashion retail, investments",956,85,Fashion & Retail,Europe
Tomasz Biernacki,$3.2 B,Poland,supermarkets,956,48,Fashion & Retail,Europe
Chey Tae-won,$3.2 B,South Korea,"oil, semiconductor",956,60,Telecom,Asia
John Collison,$3.2 B,Ireland,payments software,956,30,Technology,Europe
Patrick Collison,$3.2 B,Ireland,payment software,956,32,Technology,Europe
Jack Cowin,$3.2 B,Australia,fast food,956,78,Food & Beverage,Australia
Archie Aldis Emmerson & family,$3.2 B,United States,"timberland, lumber mills",956,91,Manufacturing,North America
Yoichi & Keiko Erikawa,$3.2 B,Japan,videogames,956,N/A,Media & Entertainment,Asia
Juan Carlos Escotet,$3.2 B,Venezuela,banking,956,61,Finance & Investments,South America
Carlo Fidani,$3.2 B,Canada,real estate,956,66,Real Estate,North America
Don Hankey,$3.2 B,United States,auto loans,956,77,Finance & Investments,North America
Otto Happel,$3.2 B,Germany,engineering,956,73,Construction & Engineering,Europe
He Zhaoxi,$3.2 B,China,software,956,47,Technology,Asia
Heidi Horten,$3.2 B,Austria,retail,956,80,Fashion & Retail,Australia
Ke Zunhong & family,$3.2 B,China,pharmaceuticals,956,66,Healthcare,Asia
Thai Lee,$3.2 B,United States,IT provider,956,62,Technology,North America
Mikhail Lomtadze,$3.2 B,Georgia,fintech,956,45,Finance & Investments,Asia
Ronald McAulay,$3.2 B,Hong Kong,energy,956,85,Energy,Asia
Maja Oeri,$3.2 B,Switzerland,Pharmaceuticals,956,66,Healthcare,Europe
James Packer,$3.2 B,Australia,casinos,956,53,Gambling & Casinos,Australia
John Sall,$3.2 B,United States,software,956,73,Technology,North America
Naguib Sawiris,$3.2 B,Egypt,telecom,956,66,Telecom,Africa
Zygmunt Solorz-Zak,$3.2 B,Poland,TV broadcasting,956,64,Media & Entertainment,Europe
Lawrence Stroll,$3.2 B,Canada,fashion investments,956,61,Fashion & Retail,North America
Rita Tong Liu,$3.2 B,Hong Kong,real estate,956,72,Real Estate,Asia
Tsai Cheng-ta,$3.2 B,Taiwan,finance,956,71,Finance & Investments,Asia
Tsai Hong-tu,$3.2 B,Taiwan,finance,956,68,Finance & Investments,Asia
Steve Wynn,$3.2 B,United States,"casinos, hotels",956,79,Gambling & Casinos,North America
Zhang Li,$3.2 B,China,real estate,956,68,Real Estate,Asia
Otto Philipp Braun,$3.1 B,Germany,medical technology,986,43,Healthcare,Europe
John Caudwell,$3.1 B,United Kingdom,mobile phones,986,68,Telecom,Europe
Chi Yufeng,$3.1 B,China,software,986,50,Technology,Asia
Camilla de Godoy Bueno Grossi,$3.1 B,Brazil,medical labs,986,42,Healthcare,South America
Antonio Del Valle Ruiz & family,$3.1 B,Mexico,chemicals,986,82,Manufacturing,North America
Martin Ebner,$3.1 B,Switzerland,investments,986,75,Finance & Investments,Europe
John Fisher,$3.1 B,United States,Gap,986,59,Fashion & Retail,North America
Jane Goldman,$3.1 B,United States,real estate,986,65,Real Estate,North America
Gu Yuhua & family,$3.1 B,China,furniture,986,71,Manufacturing,Asia
Hao Hong,$3.1 B,United States,pharmaceuticals,986,65,Healthcare,North America
Hoi Kin Hong,$3.1 B,Macao,real estate,986,68,Real Estate,Asia
Jin Lei,$3.1 B,China,pharmaceuticals,986,55,Healthcare,Asia
Artem Khachatryan,$3.1 B,Russia,retail,986,46,Fashion & Retail,Asia
Li Gaiteng,$3.1 B,China,hair dryers,986,48,Manufacturing,Asia
Li Zhongchu,$3.1 B,China,software,986,57,Technology,Asia
Harald Link,$3.1 B,Thailand,diversified,986,66,Diversified,Asia
Sergey Lomakin,$3.1 B,Russia,retail,986,47,Fashion & Retail,Asia
Nie Tengyun & family,$3.1 B,China,logistics,986,45,Service,Asia
Prasert Prasarttong-Osoth,$3.1 B,Thailand,hospitals,986,88,Healthcare,North America
Penny Pritzker,$3.1 B,United States,"hotels, investments",986,61,Finance & Investments,North America
Herb Simon,$3.1 B,United States,real estate,986,86,Real Estate,North America
Jerry Speyer,$3.1 B,United States,real estate,986,80,Real Estate,North America
Wilhelm Beier & family,$3 B,Germany,pharmaceuticals,1008,64,Healthcare,Europe
Koos Bekker,$3 B,South Africa,"media, investments",1008,68,Media & Entertainment,Africa
Ben Chestnut,$3 B,United States,email marketing,1008,46,Technology,North America
John Coates,$3 B,United Kingdom,online gambling,1008,51,Gambling & Casinos,Europe
Pedro de Godoy Bueno,$3 B,Brazil,health insurance,1008,30,Healthcare,South America
Carl Douglas,$3 B,Sweden,investments,1008,59,Diversified,Europe
Eric Douglas,$3 B,Sweden,investments,1008,52,Diversified,Europe
Behdad Eghbali,$3 B,United States,private equity,1008,44,Finance & Investments,North America
Jose E. Feliciano,$3 B,United States,private equity,1008,47,Finance & Investments,North America
Philippe Foriel-Destezet,$3 B,France,employment agency,1008,85,Service,Europe
Gan Zhongru,$3 B,China,pharmaceuticals,1008,72,Healthcare,Asia
Allan Goldman,$3 B,United States,real estate,1008,78,Real Estate,North America
Amy Goldman Fowler,$3 B,United States,real estate,1008,66,Real Estate,North America
Alec Gores,$3 B,United States,private equity,1008,68,Finance & Investments,North America
Peter Grogg,$3 B,Switzerland,biochemicals,1008,79,Healthcare,Europe
Jimmy Haslam,$3 B,United States,"gas stations, retail",1008,67,Fashion & Retail,North America
Christian Haub,$3 B,Germany,retail,1008,56,Fashion & Retail,Europe
Gudrun Heine,$3 B,Germany,medical devices,1008,66,Healthcare,Europe
Huang Jinfeng,$3 B,China,e-commerce,1008,38,Fashion & Retail,Asia
Huang Rulun,$3 B,China,real estate,1008,69,Real Estate,Asia
James Irsay,$3 B,United States,Indianapolis Colts,1008,61,Sports,North America
Justin Ishbia,$3 B,United States,â˜…,1008,43,Finance & Investments,North America
Diane Kemper,$3 B,United States,real estate,1008,75,Real Estate,North America
George Kurtz,$3 B,United States,security software,1008,50,Technology,North America
Dan Kurzius,$3 B,United States,email marketing,1008,49,Technology,North America
Kwek Leng Beng,$3 B,Singapore,diversified,1008,80,Diversified,Asia
Geoffrey Kwok,$3 B,Hong Kong,real estate,1008,35,Real Estate,Asia
Sheldon Lavin,$3 B,United States,meat processing,1008,88,Food & Beverage,North America
Louis Le Duff,$3 B,France,bakeries,1008,74,Food & Beverage,Europe
James Leprino,$3 B,United States,cheese,1008,83,Food & Beverage,North America
Joseph Liemandt,$3 B,United States,software,1008,52,Technology,North America
Peter Lim,$3 B,Singapore,investments,1008,67,Finance & Investments,Asia
Jeffrey Lurie,$3 B,United States,Philadelphia Eagles,1008,69,Sports,North America
Tom Morris,$3 B,United Kingdom,retail,1008,66,Fashion & Retail,Europe
Or Wai Sheun,$3 B,Hong Kong,real estate,1008,69,Real Estate,Asia
P.V. Ramprasad Reddy,$3 B,India,pharmaceuticals,1008,63,Healthcare,Asia
Haim Saban,$3 B,United States,"TV network, investments",1008,76,Media & Entertainment,North America
Ferit Faik Sahenk,$3 B,Turkey,diversified,1008,57,Diversified,Europe
Eddy Kusnadi Sariaatmadja,$3 B,Indonesia,"media, tech",1008,67,Media & Entertainment,Asia
Gil Shwed,$3 B,Israel,software,1008,52,Technology,Asia
Song Zuowen,$3 B,China,"aluminum, diversified",1008,74,Diversified,Asia
Friede Springer,$3 B,Germany,publishing,1008,78,Media & Entertainment,Europe
Sybill Storz,$3 B,Germany,medical devices,1008,84,Healthcare,Europe
Pat Stryker,$3 B,United States,medical equipment,1008,65,Healthcare,Asia
Hans Sy,$3 B,Philippines,diversified,1008,65,Diversified,Asia
Herbert Sy,$3 B,Philippines,diversified,1008,64,Diversified,Asia
Andrew Tan,$3 B,Philippines,diversified,1008,71,Diversified,Asia
Tian Ming,$3 B,China,measuring instruments,1008,67,Technology,Asia
Wang Changtian,$3 B,China,"TV, movie production",1008,55,Media & Entertainment,Asia
Richard White,$3 B,Australia,software,1008,66,Technology,Australia
